question,answer,category
Highlands Coffee mở cửa lúc mấy giờ?,Highlands Coffee mở cửa từ 7:00 sáng đến 22:00 tối hàng ngày. Một số chi nhánh có thể mở sớm hơn từ 6:30.,giờ mở cửa
Highlands có ship không?,Có! Highlands hỗ trợ giao hàng qua ứng dụng Highlands Coffee và các nền tảng ShopeeFood GrabFood GoFood.,giao hàng
Có wifi không?,Tất cả chi nhánh Highlands Coffee đều có wifi miễn phí cho khách hàng.,tiện ích
Có chỗ đậu xe không?,Hầu hết chi nhánh Highlands Coffee đều có bãi đậu xe hoặc gần bãi đậu xe công cộng. Vui lòng kiểm tra chi nhánh cụ thể.,tiện ích
Được mang thú cưng vào không?,Hiện tại Highlands Coffee chưa hỗ trợ mang thú cưng vào cửa hàng vì lý do vệ sinh an toàn thực phẩm.,chính sách
Có tích điểm không?,Có! Tải ứng dụng Highlands Coffee để tích điểm mỗi lần mua hàng. Tích đủ điểm sẽ được đổi đồ uống miễn phí.,thẻ thành viên
Thẻ thành viên có ưu đãi gì?,Thẻ thành viên có 3 hạng: Silver Gold Platinum. Hạng càng cao ưu đãi càng nhiều bao gồm giảm giá 10-20% và đồ uống sinh nhật miễn phí.,thẻ thành viên
Có nhận thanh toán QR không?,Highlands Coffee chấp nhận thanh toán bằng tiền mặt thẻ ngân hàng ví điện tử (MoMo ZaloPay) và QR code.,thanh toán
Highlands có bao nhiêu chi nhánh?,Highlands Coffee có hơn 700 chi nhánh trên toàn quốc tại 63 tỉnh thành Việt Nam.,chi nhánh
Có chương trình khuyến mãi gì không?,Highlands thường xuyên có khuyến mãi như mua 1 tặng 1 giảm giá theo ngày và ưu đãi qua app. Theo dõi fanpage để cập nhật.,khuyến mãi
Cà phê Highlands có gì đặc biệt?,Highlands sử dụng 100% hạt cà phê Robusta Việt Nam rang xay theo công thức riêng tạo nên hương vị đậm đà đặc trưng.,thương hiệu
Được đổi trả đồ uống không?,Nếu đồ uống bị sai hoặc có vấn đề chất lượng bạn có thể yêu cầu đổi tại quầy ngay khi nhận. Sau khi đã sử dụng không hỗ trợ đổi trả.,chính sách
Size đồ uống có những loại nào?,Highlands Coffee có 3 size: S (nhỏ) M (vừa) L (lớn). Một số loại đồ uống chỉ có size M và L.,menu
Có đồ uống không đường không?,Có! Bạn có thể yêu cầu giảm đường hoặc không đường khi order. Các loại Phin Đen Americano là lựa chọn không đường phổ biến.,menu
Highlands có đồ ăn không?,Có! Highlands có các loại bánh mì que croissant mousse cake và bánh ngọt để thưởng thức cùng cà phê.,menu
